"case_id","party_number","victim_role","victim_sex","victim_age","victim_degree_of_injury","victim_seating_position","victim_safety_equip_1","victim_safety_equip_2","victim_ejected","local_report_number"
"9319628","2","1","M","34","7","1","M","G","0","2021-00030585"
"9319631","1","4","M","32","5","-","P","A","1","2021-00030120"
"9250579","2","2","M","15","0","3","M","G","0","2021-00013638"
"91600485","1","1","F","48","7","1","M","G","0","9370-2021-11681"
"9364089","1","2","F","20","0","3","M","G","0","2021-00046005"
"9231970","2","2","M","44","0","2","M","G","0","2021-00011489"
"91547340","2","1","F","51","7","1","M","G","0","9370-2021-10861"
"9364089","2","4","M","31","6","-","P","V","3","2021-00046005"
"91549985","1","1","F","57","5","1","L","G","0","9370-2021-10938"
"9364053","2","1","M","60","4","1","M","G","0","2021-00049677"
"91655810","2","1","M","25","7","1","M","G","0","9370-2021-12423"
"9245516","1","1","F","18","6","1","L","G","0","2021-00008662"
"9245516","1","2","F","18","6","3","L","G","0","2021-00008662"
"9240979","1","1","F","24","6","1","M","G","0","2021-00007392"
"9294166","1","2","F","2","0","5","M","G","0","2021-00028904"
"9367178","2","3","M","33","5","-","N","-","-","2021-00048356"
"9322679","2","2","M","23","7","6","M","G","0","2021-00035485"
"9286904","2","1","F","39","7","1","M","G","0","2021-00024422"
"9286904","2","2","F","75","7","3","M","G","0","2021-00024422"
"9286952","2","1","M","55","6","1","L","G","0","2021-00027627"
"9286960","2","5","M","45","5","-","P","-","-","2021-00028508"
"9386467","2","2","M","24","0","3","M","-","-","2021-00051421"
"9386581","2","3","M","57","5","-","P","-","-","2021-00053277"
"9386608","2","2","M","9","0","4","P","G","0","2021-00055464"
"9386610","1","4","M","25","7","-","P","-","-","2021-00055258"
"9501633","1","2","F","21","0","3","L","B","-","2022-00042191"
"9501633","1","2","F","22","6","3","L","C","0","2022-00042191"
"9498896","1","2","F","6","0","6","L","-","-","2022-00041615"
"9488729","1","2","F","29","6","3","M","G","0","2022-00032536"
"9488727","1","1","F","35","6","1","L","G","0","2022-00034213"
"9536172","1","2","F","22","0","6","M","G","-","2022-00056253"
"9536172","1","2","M","22","0","3","M","G","-","2022-00056253"
"9536172","2","4","F","26","6","-","P","-","0","2022-00056253"
"9536167","1","2","M","50","0","2","M","C","0","2022-00054209"
"9488687","1","2","M","53","0","3","P","G","-","2022-00034397"
"9536164","2","1","M","68","7","1","M","G","0","2022-00053489"
"9536164","1","2","M","23","0","9","L","-","-","2022-00053489"
"9519143","1","4","M","64","6","-","P","W","1","2022-00059888"
"9519145","2","3","F","77","6","-","-","P","0","2022-00059885"
"9501871","1","1","M","19","6","1","P","W","0","2022-00044767"
"9501873","1","4","M","33","7","-","P","-","-","2022-00043462"
"91964596","1","1","M","24","7","1","L","G","0","9370-2022-03972"
"91964596","1","2","M","38","6","3","L","G","0","9370-2022-03972"
"91853638","1","2","M","8","5","3","L","H","0","9370-2022-02520"
"91853638","1","1","F","30","6","1","L","H","0","9370-2022-02520"
"9519150","2","4","M","15","6","-","-","P","1","2022-00058793"
"9452170","1","4","M","62","5","-","P","W","1","2022-00016370"
"9367166","1","1","M","36","6","1","M","G","0","2021-00045759"
"9317591","2","1","M","66","7","1","M","G","0","2021-00033817"
"9317591","2","2","M","10","7","6","L","G","0","2021-00033817"
"9317591","2","2","M","9","6","4","L","G","0","2021-00033817"
"9317591","2","2","F","15","6","3","L","G","0","2021-00033817"
"9294051","1","2","F","14","0","3","L","G","0","2021-00028333"
"9286715","1","1","M","60","6","1","L","G","0","2021-00024540"
"9250803","1","1","M","62","6","1","M","C","-","2021-00010964"
"9288405","2","3","M","35","6","-","-","-","-","2021-00021284"
"9367166","2","2","F","20","6","3","M","G","0","2021-00045759"
"9367166","2","1","M","20","6","1","M","G","0","2021-00045759"
"9234474","1","4","M","46","5","-","P","V","-","2021-00001719"
"9277037","1","4","M","49","6","-","P","W","-","2021-00018730"
"9386586","2","3","M","20","6","-","P","-","-","2021-00052707"
"9386620","2","3","F","34","6","-","P","-","-","2021-00053181"
"9322678","2","1","F","29","6","1","M","G","0","2021-00035028"
"9322678","2","2","M","38","7","3","M","G","0","2021-00035028"
"9322921","1","2","F","998","6","3","L","H","0","2021-00035924"
"9322921","1","1","M","20","6","1","L","G","0","2021-00035924"
"9319632","1","1","F","58","7","1","L","G","0","2021-00029897"
"9234472","2","4","F","28","6","-","P","W","0","2021-00000998"
"9379137","2","4","M","49","3","-","P","V","-","2021-00052747"
"9294173","1","1","M","54","7","1","M","G","0","2021-00026923"
"91485084","1","1","F","18","6","1","L","G","0","9370-2021-10106"
"9234472","1","2","F","1","0","4","M","J","-","2021-00000998"
"9234472","1","2","M","1","0","6","M","J","-","2021-00000998"
"9234472","1","2","F","0","0","7","L","J","-","2021-00000998"
"9234472","1","2","F","1","0","7","M","J","0","2021-00000998"
"9271667","1","4","M","69","7","-","-","-","-","2021-00015895"
"91519496","2","1","M","40","7","1","M","G","0","9370-2021-10544"
"91519499","1","1","M","29","5","1","L","H","0","9370-2021-10450"
"9386970","1","4","M","29","4","-","P","-","-","2021-00048325"
"91475946","2","2","M","67","7","3","L","G","0","9370-2021-01288"
"91475946","2","1","M","34","7","1","L","G","0","9370-2021-01288"
"91559165","2","1","F","46","7","1","M","G","0","9370-2021-11047"
"9386466","1","2","F","19","0","6","M","-","-","2021-00051810"
"9386598","1","1","M","18","6","1","-","-","-","2021-00050893"
"9234474","2","4","M","61","6","-","P","V","-","2021-00001719"
"9250586","1","1","M","52","7","1","M","B","0","2021-00012586"
"9294173","2","1","M","74","6","1","M","G","0","2021-00026923"
"9322921","2","1","M","37","7","1","M","G","0","2021-00035924"
"9240984","1","4","M","80","2","-","P","B","-","2021-00004686"
"9231963","2","1","M","29","7","1","M","B","0","2021-00013196"
"9286715","2","1","M","24","6","1","L","G","0","2021-00024540"
"9317482","2","1","F","32","4","1","G","-","0","2021-00031441"
"9286713","2","3","M","27","4","-","P","-","-","2021-00024554"
"9286708","2","4","M","32","6","-","P","V","1","2021-00025811"
"9319627","1","4","M","19","3","-","-","-","-","2021-00030908"
"9322678","2","2","M","0","0","4","M","G","0","2021-00035028"
"9322678","2","2","F","2","0","5","M","F","0","2021-00035028"
"9322678","2","2","F","1","0","6","M","G","0","2021-00035028"
"9319629","2","4","M","9","6","-","P","W","1","2021-00030348"
"9240877","1","1","M","18","6","1","M","H","0","2021-00005720"
"9240877","1","2","M","18","6","3","M","H","0","2021-00005720"
"9316855","3","1","F","26","6","1","M","G","0","2021-00029747"
"9319630","2","4","M","14","6","-","P","W","-","2021-00030303"
"9504023","3","3","F","25","5","-","P","-","1","2021-00033409"
"9250578","1","4","F","27","6","-","-","-","-","2021-00014095"
"9317591","1","1","M","36","7","1","L","G","0","2021-00033817"
"91636419","1","1","M","24","7","1","P","W","1","9370-2021-12187"
"91647584","2","1","M","39","6","1","L","G","0","9370-2021-12242"
"9320330","2","3","M","65","1","-","P","-","-","2021-00053399"
"9364070","2","1","M","76","6","1","L","G","0","2021-00046915"
"9294169","1","1","M","19","6","1","P","V","-","2021-00027793"
"91680824","4","1","F","19","7","1","L","G","0","9370-2022-00106"
"91680824","2","1","M","57","7","1","M","G","0","9370-2022-00106"
"9445288","2","1","M","38","7","1","-","-","-","2022-00011843"
"9501624","3","2","F","14","7","3","M","G","0","2022-00044694"
"9501624","3","1","M","50","7","1","M","G","0","2022-00044694"
"9498882","2","5","F","19","7","-","P","-","-","2022-00039525"
"9488728","2","2","M","2","0","6","L","Q","-","2022-00034428"
"9488728","2","2","F","23","7","3","L","G","0","2022-00034428"
"9488728","2","1","M","27","7","1","L","G","0","2022-00034428"
"91826239","2","1","M","60","7","1","M","G","0","9370-2022-01837"
"9435928","2","5","F","19","3","-","P","-","-","2022-00012572"
"9510535","1","4","M","30","6","0","P","-","0","2022-00056555"
"9519142","2","3","M","79","6","-","-","P","-","2022-00060257"
"9519144","1","1","M","63","6","1","L","H","0","2022-00059865"
"9455348","1","2","F","22","0","3","M","E","0","2022-00023001"
"9501870","1","2","F","18","0","3","M","-","-","2022-00044590"
"9501870","3","3","M","7","7","-","P","-","-","2022-00044590"
"9501870","2","3","F","50","7","-","P","-","-","2022-00044590"
"9501910","2","3","F","9","6","-","P","-","-","2022-00040280"
"9501909","1","3","M","7","6","-","P","-","-","2022-00037398"
"9501880","1","1","F","74","6","1","M","G","0","2022-00043156"
"9455023","2","1","M","48","6","1","M","G","0","2022-00021986"
"9455023","2","2","F","35","6","3","M","G","0","2022-00021986"
"9501872","2","1","M","58","6","1","P","W","1","2022-00044046"
"9455084","2","1","F","44","2","1","L","G","0","2022-00015187"
"9519151","2","3","M","17","6","-","-","P","-","2022-00058457"
"9452153","2","4","F","30","7","-","P","W","1","2022-00015525"
"9254723","2","2","F","23","6","4","M","G","0","2021-00009137"
"9254723","2","2","M","1","0","6","M","G","0","2021-00009137"
"9338570","2","1","F","67","3","1","M","G","-","2021-00036317"
"9254723","2","2","F","60","6","1","M","G","0","2021-00009137"
"91432696","2","1","M","52","7","1","L","G","0","9370-2021-00734"
"9240873","1","4","M","35","6","-","P","-","-","2021-00004544"
"9250719","2","2","F","998","0","9","M","B","0","2021-00010547"
"9250719","2","2","F","22","0","4","M","G","0","2021-00010547"
"9294178","2","4","M","19","6","-","P","V","-","2021-00026571"
"9338725","2","4","M","14","6","-","P","W","2","2021-00036095"
"9277047","2","1","M","62","6","1","P","W","1","2021-00015768"
"9286710","2","3","F","76","5","-","P","-","2","2021-00025194"
"9317594","2","4","M","52","6","-","P","W","-","2021-00033432"
"9288271","1","1","F","62","6","1","L","G","0","2021-00020016"
"9288271","1","2","F","94","6","3","L","G","0","2021-00020016"
"9288274","2","4","M","41","6","-","P","A","0","2021-00019521"
"9288438","1","2","F","26","0","3","M","G","0","2021-00022964"
"91444370","1","1","M","44","5","1","P","W","1","9370-2021-00874"
"9294178","1","2","M","10","0","3","M","G","0","2021-00026571"
"9294178","1","2","F","8","0","4","M","G","0","2021-00026571"
"9294179","2","1","M","73","6","1","L","G","0","2021-00026280"
"91425876","2","1","M","37","7","1","M","G","0","9370-2021-00645"
"9254723","1","1","M","71","6","1","L","G","0","2021-00009137"
"9240976","2","3","M","76","3","-","-","-","0","2021-00008683"
"9364085","1","1","M","74","6","1","M","G","0","2021-00046402"
"91600053","2","2","F","41","6","3","L","G","0","9370-2021-11640"
"9364060","1","4","F","14","3","1","-","-","-","2021-00048322"
"9364065","2","2","F","21","6","3","P","G","0","2021-00047766"
"9364065","2","1","M","21","6","1","P","G","0","2021-00047766"
"9222351","2","4","F","27","6","-","-","-","-","2021-00003091"
"91586579","1","1","M","36","7","1","L","H","0","9370-2021-11446"
"9288407","2","1","F","26","5","1","M","G","0","2021-00021000"
"9288407","2","2","M","62","6","3","M","G","0","2021-00021000"
"9322701","2","2","F","33","0","1","M","-","-","2021-00036575"
"91499924","1","1","M","39","7","1","M","G","0","9370-2021-10334"
"91499924","1","2","M","12","7","3","M","G","0","9370-2021-10334"
"91499924","1","2","F","40","7","4","P","G","0","9370-2021-10334"
"91499924","1","2","M","998","7","5","P","Q","0","9370-2021-10334"
"91499924","1","2","M","8","7","6","M","G","0","9370-2021-10334"
"9250581","2","3","M","76","5","-","P","-","-","2021-00013248"
"9250719","1","2","F","20","0","3","M","G","0","2021-00010547"
"9250719","1","2","F","19","0","4","M","G","0","2021-00010547"
"9250719","1","2","F","19","0","5","M","G","0","2021-00010547"
"9250719","1","2","F","18","0","5","M","G","0","2021-00010547"
"9250815","1","4","F","60","6","-","-","-","-","2021-00011275"
"9245481","3","2","F","15","0","3","M","G","-","2021-00005174"
"9338570","1","2","M","38","0","3","M","G","-","2021-00036317"
"9338755","1","1","F","51","6","1","M","G","0","2021-00038121"
"9338837","2","2","F","51","0","3","M","G","0","2021-00034833"
"9364050","1","1","M","21","3","1","P","V","0","2021-00050300"
"9364057","2","4","F","29","3","-","P","W","2","2021-00049337"
"9364385","2","2","F","27","0","3","L","-","0","2021-00046655"
"9364386","1","2","F","20","0","3","M","H","-","2021-00046467"
"91457681","1","1","M","61","6","1","P","W","1","9370-2021-01063"
"9277040","1","1","M","22","6","1","L","B","0","2021-00017142"
"9266719","1","5","F","19","6","1","L","U","0","2021-00017704"
"9338574","2","1","M","67","6","1","M","C","0","2021-00035114"
"9338828","2","2","M","20","0","3","M","-","-","2021-00035824"
"91598501","2","1","M","45","7","1","P","W","1","9370-2021-11632"
"9288433","2","2","F","36","7","3","M","B","0","2021-00021997"
"9224915","2","4","M","49","7","-","P","W","1","2021-00001780"
"9240983","2","4","M","52","3","-","P","-","-","2021-00005352"
"9316847","1","1","M","63","2","1","L","H","0","2021-00029026"
"9234478","2","4","M","43","6","-","-","-","-","2021-00002274"
"91658406","2","1","M","28","7","1","M","G","0","9370-2021-11988"
"9386588","2","3","F","33","6","-","P","-","-","2021-00052499"
"9386617","1","4","F","31","6","-","P","V","-","2021-00054056"
"9288438","2","1","M","40","5","1","N","W","1","2021-00022964"
"9501636","2","1","F","29","7","1","M","G","0","2022-00041850"
"9501636","2","2","F","78","7","3","M","G","0","2022-00041850"
"9445312","2","1","M","40","7","1","M","G","0","2022-00015453"
"9445312","1","1","F","42","7","1","M","G","0","2022-00015453"
"9445312","1","2","M","45","6","3","M","H","0","2022-00015453"
"91854655","1","1","M","19","6","1","L","G","0","9370-2022-02450"
"9450205","2","1","F","62","7","1","M","G","0","2022-00017311"
"9510537","2","1","M","37","6","1","L","G","0","2022-00051516"
"9519139","1","1","M","62","6","1","L","G","0","2022-00060798"
"9519139","2","1","M","27","7","1","L","G","0","2022-00060798"
"9519139","1","2","F","63","6","3","L","G","0","2022-00060798"
"9519140","1","3","M","68","6","-","P","G","0","2022-00060702"
"9519147","1","1","M","31","7","1","M","G","0","2022-00059063"
"9519147","2","1","F","72","7","1","M","G","0","2022-00059063"
"9519147","2","2","F","76","0","3","-","M","0","2022-00059063"
"9519147","2","2","M","75","7","4","M","G","0","2022-00059063"
"9455382","2","1","M","80","5","1","L","G","0","2022-00030062"
"9501876","2","1","M","22","6","1","P","-","-","2022-00042594"
"9501874","1","1","F","69","6","1","L","G","0","2022-00043527"
"9501874","1","2","F","57","0","3","L","-","-","2022-00043527"
"9519160","2","1","F","31","6","1","M","G","0","2022-00056852"
"9452150","1","4","F","74","5","-","P","W","1","2022-00015973"
"9452149","2","4","F","22","7","-","P","-","1","2022-00015916"
"9312248","2","1","F","54","7","1","L","G","0","2021-00032674"
"9312248","2","2","F","56","6","3","L","G","0","2021-00032674"
"9364087","1","1","M","51","7","1","L","-","-","2021-00046291"
"9364090","1","4","M","71","5","1","P","-","-","2021-00046145"
"9287673","2","1","F","47","7","1","M","G","0","2021-00025458"
"9287673","2","2","F","12","7","6","M","G","0","2021-00025458"
"9287673","2","2","F","12","0","3","M","G","0","2021-00025458"
"9277038","2","2","F","22","0","4","M","-","-","2021-00017528"
"9277038","2","2","M","34","6","6","M","G","0","2021-00017528"
"9364087","2","2","M","21","6","4","M","H","0","2021-00046291"
"9364087","2","1","M","21","6","1","L","-","-","2021-00046291"
"9364087","2","2","M","19","6","3","L","G","0","2021-00046291"
"9367182","1","1","M","63","7","1","M","B","0","2021-00049008"
"9286310","3","3","F","28","6","-","P","-","-","2021-00022355"
"9277036","2","1","M","46","7","1","M","G","0","2021-00018783"
"9286287","1","1","F","31","7","1","M","E","-","2021-00014620"
"9288406","2","1","F","28","6","1","M","C","0","2021-00021002"
"9288406","2","2","F","41","6","3","M","C","0","2021-00021002"
"9286711","1","1","M","33","6","1","L","G","0","2021-00024724"
"9386388","2","1","M","74","6","1","M","G","0","2021-00054475"
"9386597","2","1","M","20","6","1","M","G","0","2021-00051256"
"9386597","2","2","F","20","0","3","M","G","0","2021-00051256"
"9386619","1","1","M","32","6","1","-","C","0","2021-00053516"
"9250595","2","4","F","23","6","-","P","-","-","2021-00011438"
"9250597","1","1","M","23","5","1","L","G","0","2021-00011117"
"9250597","1","2","M","32","5","3","L","G","0","2021-00011117"
"9250597","1","2","M","22","5","4","L","G","0","2021-00011117"
"9240977","1","4","M","63","5","-","P","W","3","2021-00007854"
"9338730","2","3","M","58","5","-","P","-","-","2021-00034876"
"9375241","2","2","M","53","0","3","M","G","0","2021-00045059"
"9277036","1","1","F","23","7","1","M","G","0","2021-00018783"
"9277036","1","2","M","4","0","4","M","G","0","2021-00018783"
"9277036","1","2","F","1","0","6","M","G","0","2021-00018783"
"9386396","1","1","F","21","6","1","P","V","1","2021-00050803"
"9386590","1","1","M","23","6","1","M","U","2","2021-00052224"
"9386599","2","3","F","25","6","-","P","-","0","2021-00050778"
"9386592","2","3","F","19","6","-","P","-","-","2021-00051924"
"9244702","2","2","M","17","0","3","L","G","-","2021-00008658"
"9244702","1","2","M","15","0","3","M","G","-","2021-00008658"
"9244702","1","2","M","15","0","4","M","G","-","2021-00008658"
"9244702","1","2","M","16","0","6","M","G","-","2021-00008658"
"9379129","1","1","M","39","3","1","M","G","-",""
"91501112","1","1","M","58","7","1","M","G","0","9370-2021-10270"
"9234477","2","1","M","56","6","1","L","G","0","2021-00002652"
"9234441","1","1","F","49","7","1","-","-","-","2021-00003119"
"9294170","2","1","M","48","6","1","L","G","0","2021-00027643"
"9288408","1","4","M","12","6","-","-","-","-","2021-00020193"
"9312248","1","1","F","85","7","1","L","G","0","2021-00032674"
"9312248","1","2","M","20","7","4","L","G","0","2021-00032674"
"9286707","1","4","M","65","2","-","P","W","1","2021-00026168"
"9286709","2","1","F","28","6","1","L","G","0","2021-00025502"
"9286711","2","1","F","54","6","1","M","G","0","2021-00024724"
"9288406","2","2","F","5","0","6","M","G","0","2021-00021002"
"9266706","1","1","M","35","6","1","P","W","0","2021-00014310"
"9395640","1","1","F","42","6","1","L","C","0","2021-00055570"
"9231964","1","1","F","42","7","1","B","-","0","2021-00012761"
"9231969","2","3","F","66","3","-","P","-","-","2021-00011602"
"91530147","1","1","M","26","6","1","P","W","1","9370-2021-10620"
"9320274","1","1","M","58","1","1","B","G","0","2021-00051019"
"9250590","2","3","M","36","5","-","P","-","-","2021-00012378"
"9286709","1","1","F","32","6","1","M","G","0","2021-00025502"
"91658070","3","1","M","59","5","1","L","G","0","9370-2021-12417"
"91658070","3","2","M","58","6","3","L","G","0","9370-2021-12417"
"91658070","2","1","F","42","6","1","M","G","0","9370-2021-12417"
"91658070","2","2","M","42","6","3","M","G","0","9370-2021-12417"
"9386585","2","4","M","34","6","-","P","-","1","2021-00052994"
"9364092","2","3","F","29","5","-","P","-","-","2021-00045956"
"9501637","1","2","F","7","0","0","M","Q","0","2022-00041837"
"9501637","1","1","F","39","6","1","M","G","0","2022-00041837"
"9501635","2","5","F","19","6","-","M","-","1","2022-00041909"
"9445292","1","1","F","33","6","1","M","G","-","2022-00012466"
"9498892","1","4","F","34","6","1","P","W","1","2022-00042602"
"91861613","2","1","M","26","6","1","P","W","1","9370-2022-02458"
"9455349","2","2","F","20","0","3","M","G","0","2022-00022267"
"9501875","3","1","F","27","5","1","L","G","0","2022-00043683"
"9501875","1","2","M","19","0","4","L","G","0","2022-00043683"
"9501875","2","2","M","4","0","6","M","G","0","2022-00043683"
"9501875","2","2","F","7","0","4","M","H","0","2022-00043683"
"9501875","2","2","F","44","0","3","M","G","0","2022-00043683"
"91841879","4","1","M","49","7","1","M","G","0","9370-2022-02209"
"91841879","4","2","F","59","7","3","M","G","0","9370-2022-02209"
"9519158","1","1","M","64","7","1","M","G","0","2022-00057217"
"9519153","2","2","F","15","7","2","M","G","0","2022-00058172"
"9519153","2","1","M","56","7","1","M","-","0","2022-00058172"
"9452174","1","1","M","35","5","1","L","H","0","2022-00013063"
"9452168","2","3","F","73","5","-","P","-","0","2022-00017142"
"91937382","1","1","M","38","7","1","L","G","0","9370-2022-03646"
"91937382","2","1","M","34","7","1","M","G","0","9370-2022-03646"
"91937382","3","1","M","40","7","1","M","G","0","9370-2022-03646"
"91937382","3","2","F","43","7","3","M","G","0","9370-2022-03646"
"9414279","1","4","M","23","6","-","-","-","-","2022-00001726"
"9364056","1","3","F","16","2","-","P","-","-","2021-00049383"
"9364058","1","4","M","27","3","-","P","-","1","2021-00049137"
"9364068","2","1","M","63","6","1","P","V","-","2021-00047358"
"9364072","2","1","F","52","5","1","L","C","0","2021-00046674"
"9286912","2","2","F","5","6","5","M","G","0","2021-00024763"
"9375215","1","2","M","24","0","4","M","G","0","2021-00041504"
"9375215","1","2","M","24","0","3","M","G","0","2021-00041504"
"9287602","2","1","F","41","6","1","L","G","0","2021-00028230"
"9338568","2","1","F","58","7","1","P","G","0","2021-00037058"
"9338724","1","1","M","59","7","1","L","G","0","2021-00036072"
"9338749","2","1","F","72","6","1","M","G","0","2021-00039551"
"9338752","2","3","F","12","7","-","P","-","-","2021-00038664"
"9338760","2","5","M","31","7","1","-","-","-","2021-00036893"
"9338823","1","2","M","17","0","3","L","B","0","2021-00036458"
"9277041","1","1","F","22","6","1","M","G","0","2021-00016720"
"9277041","1","2","F","19","6","3","M","G","0","2021-00016720"
"9288409","1","4","M","67","4","1","-","-","-","2021-00019853"
"9288439","2","1","F","30","6","1","M","G","0","2021-00023112"
"9240980","1","4","M","47","6","-","-","-","-","2021-00007287"
"9367130","4","2","M","13","0","6","M","-","-","2021-00042673"
"9312319","2","1","M","47","6","1","L","G","0","2021-00031583"
"91437663","1","1","F","68","6","1","L","G","0","9370-2021-00818"
"91570313","1","1","F","31","7","1","M","G","0","9370-2021-11219"
"9294165","2","1","M","40","6","1","M","W","2","2021-00028930"
"9240982","2","1","F","42","3","1","M","G","0","2021-00006048"
"9234476","2","1","M","48","6","1","M","C","0","2021-00001989"
"9234476","2","2","F","48","6","3","M","C","0","2021-00001989"
"9319626","1","4","M","26","6","-","P","W","-","2021-00030997"
"9294171","2","1","M","61","6","1","M","-","0","2021-00027245"
"91598687","1","2","M","22","5","9","L","B","3","9370-2021-11613"
"9266711","1","2","M","53","0","3","M","G","0","2021-00016226"
"91598687","1","1","M","25","7","1","L","G","3","9370-2021-11613"
"91598687","1","2","M","23","7","9","L","G","0","9370-2021-11613"
"91598687","1","2","M","998","7","9","L","G","0","9370-2021-11613"
"9364058","2","2","F","20","0","3","M","-","0","2021-00049137"
"9294177","2","3","-","41","6","1","-","-","-","2021-00026745"
"9231971","2","1","M","43","6","1","L","G","0","2021-00013316"
"9367130","3","2","F","63","7","3","M","G","0","2021-00042673"
"9367130","2","1","M","55","6","1","M","G","0","2021-00042673"
"9367130","2","2","M","53","6","3","M","G","0","2021-00042673"
"9367130","2","2","M","55","0","6","M","G","0","2021-00042673"
"9386579","1","2","M","3","0","6","M","G","-","2021-00053094"
"9386579","1","2","M","1","0","4","M","-","-","2021-00053094"
"9317595","1","4","F","28","6","-","P","W","0","2021-00033231"
"9338724","2","1","M","44","6","1","L","G","0","2021-00036072"
"9338838","2","2","F","24","0","3","M","G","0","2021-00034742"
"9338750","1","4","M","68","6","1","P","W","3","2021-00038790Q"
"9531145","2","2","M","52","0","3","M","G","0","2022-00049349"
"9501631","3","2","M","82","0","3","M","-","-","2022-00043343"
"9501628","2","3","M","80","5","-","P","-","-","2022-00044254"
"9501620","1","4","M","31","3","-","P","W","-","2022-00045935"
"9498895","2","1","M","30","7","1","M","G","0","2022-00041418"
"9488725","2","4","M","30","6","-","P","W","0","2022-00034741"
"9536168","2","3","F","70","6","-","P","-","-","2022-00054314"
"91676658","1","1","F","43","6","1","P","W","1","9370-2022-00011"
"9510538","1","1","M","30","7","1","P","V","0","2022-00051221"
"91772318","2","2","M","75","7","3","M","G","0","9370-2022-01097"
"9519141","2","1","F","23","6","1","L","G","-","2022-00060513"
"9519146","2","3","F","23","6","-","-","P","0","2022-00059320"
"9519148","1","4","F","25","6","-","P","V","2","2022-00058725"
"9519148","2","2","F","74","0","3","M","G","0","2022-00058725"
"9501869","2","4","F","43","6","-","P","W","0","2022-00044428"
"9501879","2","2","F","40","6","1","M","G","0","2022-00043149"
"9501877","2","2","M","32","6","3","M","G","0","2022-00042802"
"9501877","2","1","M","36","6","1","M","G","0","2022-00042802"
"9501877","1","2","F","29","6","3","M","G","0","2022-00042802"
"9455031","2","1","F","44","6","1","M","G","0","2022-00024081"
"9455031","2","2","F","63","0","3","M","G","-","2022-00024081"
"9452173","2","3","M","81","5","-","P","-","-","2022-00014837"
"9452155","2","4","F","39","6","-","P","W","0","2022-00015316"
"9452155","2","2","M","2","0","-","P","Y","0","2022-00015316"
"9452155","2","2","M","5","6","-","P","Y","2","2022-00015316"
"9452155","1","2","F","5","0","6","M","G","0","2022-00015316"
"9530839","2","2","F","21","0","3","M","G","0","2022-00045067"
"9478265","1","2","M","31","0","3","P","-","-","2022-00026138"
"9418208","2","2","F","98","6","3","L","G","0","2022-00005528"
"91748722","1","2","F","33","6","4","M","G","0","9370-2022-00950"
"9548699","2","1","M","37","7","1","M","G","0","2022-00056846"
"91798544","1","3","M","62","6","0","-","-","0","9370-2022-01442"
"9213035","1","2","M","18","0","3","L","-","-","2022-00000846"
"9213035","1","2","F","18","0","6","P","-","-","2022-00000846"
"9213035","1","1","M","23","7","1","L","G","0","2022-00000846"
"9487183","1","1","F","80","3","1","M","B","0","2022-00037055"
"9487181","2","4","M","23","3","-","P","-","-","2022-00037479"
"9537496","2","5","F","54","6","1","P","V","1","2022-00053151"
"9436083","1","1","F","60","7","1","L","G","0","2022-00012509"
"9478329","4","1","M","42","3","1","M","G","0","2022-0027592"
"9478329","3","2","F","25","3","6","M","G","0","2022-0027592"
"9478329","3","2","F","40","3","4","M","G","0","2022-0027592"
"9478329","3","1","F","38","3","1","M","G","0","2022-0027592"
"9478329","2","2","F","67","3","3","M","G","0","2022-0027592"
"9436087","2","2","F","21","6","3","L","G","0","2022-00012063"
"9436087","2","1","F","23","6","1","L","G","0","2022-00012063"
"9436086","2","1","M","34","7","1","L","G","-","2022-00012135"
"9436086","1","1","F","48","7","1","L","G","-","2022-00012135"
"9436082","1","1","M","18","6","1","L","G","0","2022-00012424"
"9478336","1","2","F","77","4","3","L","G","0","2022-00025806"
"9478331","1","1","M","18","3","1","M","H","0","2022-00027028"
"9537420","2","4","M","48","6","-","P","V","-","2022-00053886"
"9537418","1","2","F","70","6","3","M","G","0","2022-00053757"
"9537415","1","4","M","19","6","-","P","W","3","2022-00053285"
"9436110","1","4","M","36","6","-","P","V","-","2022-00009718"
"9464559","2","2","M","56","0","3","M","P","0","2022-00029895"
"9438514","1","2","F","11","0","-","M","-","-","2022-00013817"
"9438514","1","2","F","14","0","-","M","-","-","2022-00013817"
"9438514","1","2","F","40","0","3","M","-","-","2022-00013817"
"9438514","2","1","M","62","6","1","M","C","0","2022-00013817"
"9438510","1","2","M","79","0","-","M","G","0","2022-00012378"
"9438510","2","1","F","41","6","1","M","G","0","2022-00012378"
"9529687","2","4","M","33","6","-","P","-","0","2022-00046357"
"91961048","1","1","F","33","6","1","L","G","0","9370-2022-02592"
"9529724","1","1","F","44","7","1","M","G","0","2022-00049261"
"9529712","2","1","F","37","6","1","M","E","0","2022-00047728"
"9436074","1","4","M","45","7","-","P","W","0","2022-00014600"
"9530299","2","3","F","78","6","-","P","-","-","2022-00046637"
"9504166","2","1","M","54","6","1","M","G","0","2022"
"9504166","1","1","M","21","6","1","M","G","0","2022"
"9504015","1","1","M","52","1","1","P","W","1","2022-00026912"
"9456686","2","2","F","22","6","3","M","G","0","2022-00024894"
"9456686","1","2","M","24","0","6","M","G","0","2022-00024894"
"9456686","1","2","M","24","0","3","M","G","0","2022-00024894"
"9456674","2","2","M","22","0","6","M","-","-","2022-00021224"
"9456674","1","1","M","30","6","1","P","W","-","2022-00021224"
"9487557","1","2","M","23","0","3","M","G","0","202200040050"
"9528791","1","5","M","19","5","-","P","V","1","2022-00046461"
