"case_id","party_number","victim_role","victim_sex","victim_age","victim_degree_of_injury","victim_seating_position","victim_safety_equip_1","victim_safety_equip_2","victim_ejected","local_report_number"
"9049324","2","1","F","60","6","1","L","G","0","2020-00004418"
"9049336","2","3","M","59","6","9","P","-","3","2020-00004019"
"9049340","2","2","F","40","0","6","M","-","3","2020-00003890"
"9049356","1","2","F","5","0","4","P","G","0","2020-00003821"
"91192767","1","1","M","29","7","1","M","G","0","9335-2020-00356"
"91192767","1","2","M","24","7","4","M","G","0","9335-2020-00356"
"91307699","1","1","M","38","7","1","M","G","0","9370-2020-02247"
"91278770","1","1","F","69","5","1","L","G","0","9370-2020-01777"
"91278770","3","1","M","32","5","1","P","W","1","9370-2020-01777"
"91345503","2","2","M","36","7","2","M","G","0","9370-2020-02888"
"91345503","2","2","M","50","7","3","M","G","0","9370-2020-02888"
"9102901","2","1","F","27","6","1","P","G","0","2020-00013207"
"9102901","2","2","M","1","0","6","M","J","0","2020-00013207"
"91305494","2","1","F","28","7","1","M","G","0","9370-2020-02268"
"9218268","1","2","F","39","6","3","M","G","0","2020-00057042"
"9218272","1","4","M","27","6","-","P","-","-","2020-00056586"
"9137819","1","1","F","26","3","1","L","B","-","2020-00031614"
"9137819","1","2","F","40","0","6","L","-","-","2020-00031614"
"9137819","1","2","M","25","0","6","L","-","-","2020-00031614"
"9099805","2","1","F","66","6","1","M","E","0","2020-00017028"
"9099805","2","2","-","43","6","3","M","C","0","2020-00017028"
"9099815","2","1","M","68","7","1","M","-","0","2020-00012746"
"9099815","2","2","F","35","7","3","M","G","0","2020-00012746"
"9099815","3","1","F","65","7","1","M","G","0","2020-00012746"
"9218725","2","2","M","21","0","3","L","G","0","2020-00058154"
"9114073","2","2","M","20","0","3","M","-","-","2020-00019751"
"9090323","2","1","F","27","6","1","L","G","0","2020-00012006"
"9218261","2","4","M","71","5","-","P","-","1","2020-00059200"
"9218268","2","1","M","67","5","1","M","G","0","2020-00057042"
"9090783","2","4","M","47","4","-","-","-","-","2020-00007657"
"9137819","2","1","M","24","3","1","L","B","0","2020-00031614"
"9141278","2","1","F","46","6","1","M","C","0","2020-00033293"
"9114073","3","2","M","18","0","6","M","-","-","2020-00019751"
"9114073","1","2","F","18","0","4","M","-","-","2020-00019751"
"9206510","2","1","M","27","3","-","P","U","1","2020-00048339"
"9107221","2","1","M","58","7","1","M","G","0","2020-00017583"
"9122628","2","2","F","42","0","3","M","G","0","2020-00022730"
"9122628","1","4","M","28","6","-","-","-","-","2020-00022730"
"9128397","2","1","-","44","6","1","M","G","0","2020-00022754"
"9128437","2","2","F","20","0","3","M","-","-","2020-00024283"
"9141266","1","1","F","22","4","1","-","-","-","2020-00034959"
"9090323","1","2","F","7","0","6","M","G","0","2020-00012006"
"9090337","2","1","F","39","6","1","M","C","0","2020-00010268"
"9197956","1","1","F","74","6","1","L","G","0","2020-00052499"
"8910812","2","3","F","58","1","9","P","-","3","2020-00003549"
"9132025","1","2","F","24","6","3","L","G","0","2020-00027297"
"9090800","2","1","F","58","7","1","M","C","0","2020-00006524"
"9090800","2","2","F","23","0","3","M","-","-","2020-00006524"
"9120093","2","2","M","30","0","3","M","G","0","2020-00017902"
"9221351","2","1","M","31","6","1","P","W","-","2020-00057268"
"9116206","1","3","M","56","6","-","P","-","-","2020-00019209"
"9116203","2","1","F","64","6","1","L","G","0","2020-00020616"
"91250796","2","1","F","61","7","1","M","G","0","9370-2020-01405"
"9027634","1","2","F","8","0","4","M","G","0","2020-00000170"
"9049299","1","1","F","41","6","1","M","G","0","2020-00001426"
"9049316","1","4","M","18","3","9","-","-","3","2020-00004638"
"9049340","1","4","M","64","6","9","P","V","3","2020-00003890"
"9049356","2","3","M","38","6","9","P","-","3","2020-00003821"
"9049360","1","1","F","19","6","1","L","H","3","2020-00003188"
"9049360","1","2","M","22","6","3","L","H","0","2020-00003188"
"9250716","3","2","M","19","0","3","M","G","-","2021-00011953"
"9379133","2","1","M","32","2","1","P","W","1","2021-00054736"
"9379133","2","2","F","40","3","4","P","Y","1","2021-00054736"
"9277042","2","1","F","29","7","1","M","G","0","2021-00016559"
"9312252","1","1","F","20","6","1","M","G","0","2021-00032720"
"9320270","2","3","M","64","1","-","-","-","-","2021-00040538"
"9286298","1","1","F","46","6","1","M","G","0","2021-00020953"
"9386384","2","2","F","47","6","3","M","E","0","2021-00055506"
"9386445","1","2","F","49","0","3","B","-","0","2021-00049923"
"9386591","2","1","F","72","6","1","L","G","0","2021-00052161"
"9288401","2","1","F","20","5","1","L","H","0","2021-00023281"
"9277039","2","4","M","47","6","-","P","V","2","2021-00017289"
"9294176","1","4","M","63","6","-","P","-","-","2021-00026665"
"9338576","2","1","M","44","6","1","M","G","0","2021-00034278"
"9338727","1","4","M","57","6","-","P","W","1","2021-00035251"
"9338758","1","1","F","26","6","1","M","G","0","2021-00037637"
"9317481","1","1","M","45","3","1","P","V","1","2021-00031749"
"9277042","1","2","F","5","0","9","B","-","0","2021-00016559"
"9277042","1","2","M","8","0","9","B","-","0","2021-00016559"
"91457706","3","1","M","65","7","1","L","H","0","9370-2021-01077"
"9338753","1","1","M","67","6","1","L","H","0","2021-00038631"
"9316871","2","2","M","43","0","8","P","-","-","2021-00031277"
"9316871","2","2","M","62","0","8","P","-","-","2021-00031277"
"9188126","2","1","M","24","3","1","M","C","0","2020-00049035"
"9099807","2","1","F","23","6","1","M","G","0","2020-00015244"
"9099807","2","2","F","26","6","3","M","G","0","2020-00015244"
"9099807","2","2","M","27","0","4","M","G","0","2020-00015244"
"9099811","2","1","F","69","6","1","P","W","0","2020-00013597"
"9090325","2","3","F","21","5","-","P","-","-","2020-00010404"
"9119860","1","2","F","60","0","2","M","E","0","20-025714"
"9188126","1","1","M","27","3","1","L","C","0","2020-00049035"
"91192791","2","1","M","36","7","1","M","G","0","9370-2020-00575"
"91187785","1","1","M","50","7","1","L","G","0","9370-2020-00453"
"9201192","1","2","M","58","0","3","M","G","0","2020-00054460"
"9119860","2","1","M","21","4","1","M","W","0","20-025714"
"9201521","2","3","M","46","7","-","P","-","0","2020-00053276"
"9192870","2","2","-","2","0","-","P","Y","-","2020-00045545"
"9192870","2","4","M","60","6","-","P","Y","-","2020-00045545"
"9136425","2","3","F","23","5","-","P","-","-","2020-00028786"
"9136427","1","1","M","31","6","1","L","G","0","2020-00029375"
"9136427","1","2","M","29","0","3","L","G","0","2020-00029375"
"91191746","2","1","M","35","7","1","P","W","1","9370-2020-00538"
"91257726","1","1","M","28","6","1","L","G","0","9370-2020-01551"
"9132021","2","3","F","36","6","-","P","-","-","2020-00027252"
"9133190","2","1","M","47","3","1","L","G","0","2020-00029041"
"9099807","1","1","M","63","7","1","L","G","0","2020-00015244"
"9099811","1","2","M","51","0","6","M","B","-","2020-00013597"
"9099829","1","2","F","18","0","3","M","-","0","2020-00015764"
"9089484","1","2","M","15","0","3","M","G","0","2020-00010589"
"9137100","2","4","M","74","5","-","P","-","-","2020-00031634"
"9218270","1","2","F","33","0","4","M","G","-","2020-00056910"
"9218270","1","2","M","998","0","4","M","A","-","2020-00056910"
"9218270","1","2","M","2","0","5","M","G","-","2020-00056910"
"9218270","1","2","M","5","0","6","M","G","-","2020-00056910"
"9141254","2","2","F","58","6","3","L","G","0","2020-00035144"
"9180569","2","2","F","71","3","2","P","Y","3","2020-00010282"
"9180569","2","1","M","45","4","1","-","-","-","2020-00010282"
"9218270","2","1","M","24","7","1","-","-","-","2020-00056910"
"9161628","2","1","M","29","4","1","L","G","0","2020-00040022"
"9161630","1","2","F","22","0","0","N","-","-","2020-00039593"
"9090791","2","4","M","34","3","-","P","-","0","2020-00007470"
"9218735","2","2","M","22","0","1","M","P","0","2020-00056086"
"9161630","2","3","M","51","3","-","P","B","0","2020-00039593"
"9161632","1","1","M","30","3","1","P","W","1","2020-00038831"
"91375573","3","1","M","62","7","1","M","G","0","9370-2020-03309"
"91375573","3","2","M","29","7","3","M","G","0","9370-2020-03309"
"9221343","2","4","M","34","3","-","-","-","-","2020-00055535"
"91285966","3","1","F","64","7","1","M","G","0","9370-2020-01961"
"9221300","2","3","M","30","6","-","P","-","0","2020-00057064"
"9221316","1","2","F","26","0","3","M","G","0","2020-00056857"
"9221316","1","1","M","44","7","1","M","G","0","2020-00056857"
"9221355","2","3","F","60","6","-","P","-","-","2020-00057476"
"9071231","2","1","M","45","6","1","M","C","-","2020-00000359"
"9071227","2","1","M","31","6","1","M","C","0","2020-00005770"
"9087650","2","1","F","39","5","1","L","C","0","2020-00008444"
"9049287","2","3","F","67","6","9","P","-","2","2020-00001120"
"91375573","2","1","M","48","7","1","M","G","0","9370-2020-03309"
"9027606","2","2","F","5","0","6","M","Q","3","2020-00003819"
"9212567","2","2","F","29","6","3","L","G","0","2020-00054763"
"9212567","2","2","F","7","7","4","M","G","0","2020-00054763"
"9212567","2","2","M","0","0","6","L","G","0","2020-00054763"
"9122604","1","4","M","32","6","-","P","W","2","2020-00025400"
"9122616","1","1","M","84","6","-","P","W","1","2020-00024616"
"9122624","1","1","F","18","6","1","L","G","0","2020-00022555"
"9122624","2","1","M","57","6","1","P","W","1","2020-00022555"
"91192642","2","1","M","25","6","1","P","W","1","9370-2020-00559"
"91192791","1","2","M","35","7","3","L","G","0","9370-2020-00575"
"91250810","2","2","M","55","7","4","M","G","0","9370-2020-01412"
"91250810","2","2","F","54","7","6","M","G","0","9370-2020-01412"
"91250810","2","1","M","59","7","1","M","G","0","9370-2020-01412"
"9212567","1","1","M","85","5","1","M","G","0","2020-00054763"
"9212575","1","1","-","998","7","-","-","-","-","2020-00053340"
"91812669","2","3","M","46","1","9","-","-","-","9370-2021-11277"
"91812669","5","1","M","50","7","1","L","G","0","9370-2021-11277"
"91812669","7","3","F","28","6","9","P","-","-","9370-2021-11277"
"9294172","2","4","-","43","4","1","-","-","-","2021-00026987"
"91569688","2","1","F","50","7","1","M","G","0","9370-2021-11211"
"91514038","2","1","M","44","6","1","L","G","0","9370-2021-00913"
"9338729","1","1","F","41","7","1","L","G","0","2021-00034976"
"9338729","1","2","F","8","7","4","M","G","0","2021-00034976"
"9271671","2","1","M","59","4","1","L","G","0","2021-00018428"
"9338751","2","3","F","37","6","-","P","-","0","2021-00038813"
"91457690","2","2","F","61","6","6","P","G","0","9370-2021-01096"
"9364069","2","4","F","26","6","-","P","W","0","2021-00047186"
"9364071","2","3","F","44","7","-","P","-","-","2021-00046826"
"91425328","1","1","M","28","6","1","L","G","0","9370-2021-00629"
"91425328","1","2","F","32","7","3","M","G","0","9370-2021-00629"
"9317483","1","1","F","32","3","1","M","G","0","2021-00031180"
"9317575","1","2","F","52","0","3","L","-","-","2021-00029640"
"9317576","2","2","M","1","0","6","M","G","0","2021-00029256"
"9317576","2","2","F","4","0","4","M","G","0","2021-00029256"
"9317590","2","1","F","38","6","1","M","G","0","2021-00033833"
"9271671","1","2","M","46","0","3","M","G","-","2021-00018428"
"9271671","1","1","M","37","4","1","L","G","0","2021-00018428"
"9188129","2","1","M","39","3","1","L","-","0","2020-00048073"
"9188130","2","3","M","31","3","-","-","-","0","2020-00047704"
"9197953","1","1","M","37","7","1","L","S","0","2020-00054413"
